INSTNM,STABBR
Academy of Healing Arts Massage & Facial Skin Care,FL
Lincoln College of Technology-West Palm Beach,FL
Fortis College-Tampa,FL
Paul Mitchell the School-Jacksonville,FL
North Florida Community College,FL
University of North Florida,FL
Northwood University-Florida,FL
Nova Southeastern University,FL
Northwest Florida State College,FL
Orange Park International School of Beauty,FL
Everest University-North Orlando,FL
Orlando Tech,FL
Palm Beach Atlantic University,FL
Palm Beach State College,FL
Pasco-Hernando Community College,FL
Pensacola State College,FL
Pinellas Technical Education Center-Clearwater,FL
Polk State College,FL
Radford M Locklin Technical Center,FL
Saint Vincent de Paul Regional Seminary,FL
Ridge Career Center,FL
Ringling College of Art and Design,FL
Toni & Guy Hairdressing Academy-Jacksonville,FL
Robert Morgan Educational Center,FL
Rollins College,FL
First Coast Technical College,FL
Saint Leo University,FL
St Petersburg College,FL
Pinellas Technical Education Center-St Petersburg,FL
Santa Fe College,FL
Sarasota County Technical Institute,FL
Argosy University-Sarasota,FL
Seminole State College of Florida,FL
Sheridan Technical Center,FL
Saint John Vianney College Seminary,FL
Saint Johns River State College,FL
South Florida State College,FL
University of South Florida-Main Campus,FL
St Thomas University,FL
Stenotype Institute of Jacksonville Inc-Jacksonville,FL
Stetson University,FL
Southeastern University,FL
Benes International School of Beauty,FL
Suwannee-Hamilton Technical Center,FL
Tallahassee Community College,FL
Talmudic College of Florida,FL
Everest University-Tampa,FL
Everest University-Largo,FL
The University of Tampa,FL
Taylor Technical Institute,FL
Tom P Haney Technical Center,FL
Trinity Baptist College,FL
Trinity College of Florida,FL
Fashion Focus Hair Academy,FL
Valencia College,FL
Warner University,FL
Washington-Holmes Technical Center,FL
Webber International University,FL
Rasmussen College-Florida,FL
The University of West Florida,FL
Westside Tech,FL
William T McFatter Technical Center,FL
Winter Park Tech,FL
Withlacoochee Technical Institute,FL
Abraham Baldwin Agricultural College,GA
Agnes Scott College,GA
Interactive College of Technology-Chamblee,GA
Interactive College of Technology-Morrow,GA
Albany Technical College,GA
Darton State College,GA
Albany State University,GA
Andrew College,GA
Armstrong Atlantic State University,GA
The Art Institute of Atlanta,GA
Georgia Career Institute,GA
Atlanta Technical College,GA
Point University,GA
Atlanta Metropolitan State College,GA
Atlanta's John Marshall Law School,GA
Atlanta School of Massage,GA
Clark Atlanta University,GA
Augusta Technical College,GA
Augusta State University,GA
Bainbridge State College,GA
Bauder College,GA
Beauty College of America,GA
Berry College,GA
Beulah Heights University,GA
Brenau University,GA
Brewton-Parker College,GA
Brown College of Court Reporting,GA
College of Coastal Georgia,GA
West Georgia Technical College,GA
Carver Bible College,GA
Clayton  State University,GA
Columbia Theological Seminary,GA
Columbus Technical College,GA
Columbus State University,GA
Georgia Northwestern Technical College,GA
Covenant College,GA
Dalton State College,GA
Pro Way Hair School,GA
DeVry University-Georgia,GA
South University-Savannah,GA
East Georgia State College,GA
Emmanuel College,GA
Emory University,GA
Georgia Highlands College,GA
Fort Valley State University,GA
Grady Health System Professional Schools,GA
Georgia Institute of Technology-Main Campus,GA
Georgia Southwestern State University,GA
Gainesville State College,GA
Georgia College and State University,GA
Georgia Military College,GA
Georgia Southern University,GA
Georgia State University,GA
University of Georgia,GA
Gordon State College,GA
Southern Crescent Technical College,GA
Gupton Jones College of Funeral Service,GA
Gwinnett College-Lilburn,GA
Gwinnett Technical College,GA
Middle Georgia Technical College,GA
Interdenominational Theological Center,GA
Kennesaw State University,GA
LaGrange College,GA
Lanier Technical College,GA
Life University,GA
Central Georgia Technical College,GA
Macon State College,GA
